Hugo_Symbol	Entrez_Gene_Id	GrCh37_Isoform	GrCh37_RefSeq	GrCh38_Isoform	GrCh38_RefSeq	# of occurrence within resources (column d_J)	OncoKB_Annotated	Is_Oncogene	Is_Tumor_Suppressor_Gene	Msk_Impact	Msk_Heme	Foundation_One	Foundation_One_Heme	Vogelstein	Sanger_Cgc(05/30/2017)	Tier_CGC(v.92)	In_CGC(v.92)	Role_In_Cancer_CGC(v.92)	In_CIViC(08_21)	Description_CIViC(08_21)	Inclusion_Level
H3-3A	3020	ENST00000366813	NM_002107.4	ENST00000366815	NM_002107.4	6.0	Yes	Yes	No	Yes	Yes	Yes	No	Yes	Yes		No		Yes		2.0
H3C2	8358	ENST00000244661	NM_003537.3	ENST00000621411	NM_003537.3	6.0	Yes	No	No	Yes	Yes	No	Yes	Yes	Yes		No		Yes		2.0
IKZF1	10320	ENST00000331340	NM_006060.4	ENST00000331340	NM_006060.4	6.0	Yes	No	No	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	TSG, fusion	Yes		1.0
IRF4	3662	ENST00000380956	NM_002460.3	ENST00000380956	NM_002460.3	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene, TSG, fusion	No		1.0
JUN	3725	ENST00000371222	NM_002228.3	ENST00000371222	NM_002228.3	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene	Yes		1.0
KDM5A	5927	ENST00000399788	NM_001042603.1	ENST00000399788	NM_001042603.1	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene, fusion	No		1.0
KDR	3791	ENST00000263923	NM_002253.2	ENST00000263923	NM_002253.2	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene	Yes		1.0
KEAP1	9817	ENST00000171111	NM_203500.1	ENST00000171111	NM_203500.1	6.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	TSG	No		1.0
KMT2A	4297	ENST00000534358	NM_001197104.1	ENST00000534358	NM_001197104.1	6.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene, fusion	Yes		1.0
KMT2C	58508	ENST00000262189	NM_170606.2	ENST00000262189	NM_170606.2	6.0	Yes	No	Yes	Yes	Yes	No	Yes	Yes	Yes	1.0	Yes	TSG	Yes		1.0
MAP2K2	5605	ENST00000262948	NM_030662.3	ENST00000262948	NM_030662.3	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene	Yes		1.0
MAP2K4	6416	ENST00000353533	NM_003010.3	ENST00000353533	NM_003010.3	6.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene, TSG	No		1.0
MAPK1	5594	ENST00000215832	NM_002745.4	ENST00000215832	NM_002745.4	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene	Yes		1.0
MDM2	4193	ENST00000462284	NM_002392.5	ENST00000258149	NM_002392.5	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene	Yes		1.0
MDM4	4194	ENST00000367182	NM_002393.4	ENST00000367182	NM_002393.4	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene	Yes		1.0
MITF	4286	ENST00000394351	NM_000248.3	ENST00000394351	NM_000248.3	6.0	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene	Yes		1.0
MTOR	2475	ENST00000361445	NM_004958.3	ENST00000361445	NM_004958.3	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene	Yes	mTOR deregulation has been observed in many cancer types. As a part of the PI3K/Akt pathway, there is a broad interest in mTOR biology across cancer types. mTOR inhibition has been investigated for nearly a decade. Everolimus, temsirolimus and zotarolimus are three of the more commonly used mTOR inhibitors used in clinical treatment today, with modest success.	1.0
MUTYH	4595	ENST00000372115	NM_001048171.1	ENST00000372115	NM_001048171.1	6.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	TSG	No		1.0
MYC	4609	ENST00000377970	NM_002467.4	ENST00000621592	NM_002467.4	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene, fusion	Yes		1.0
MYCL	4610	ENST00000397332	NM_001033082.2	ENST00000397332	NM_001033082.2	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene	Yes		1.0
MYCN	4613	ENST00000281043	NM_005378.4	ENST00000281043	NM_005378.4	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene	Yes		1.0
NKX2-1	7080	ENST00000354822	NM_001079668.2	ENST00000354822	NM_001079668.2	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene, TSG	No		1.0
NSD2	7468	ENST00000382891	NM_001042424.2	ENST00000382891	NM_001042424.2	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene, fusion	No		1.0
NSD3	54904	ENST00000317025	NM_023034.1	ENST00000317025	NM_023034.1	6.0	Yes	No	No	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene, fusion	No		1.0
NTRK1	4914	ENST00000524377	NM_002529.3	ENST00000524377	NM_002529.3	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene, TSG, fusion	Yes		1.0
NTRK3	4916	ENST00000360948	NM_001012338.2	ENST00000360948	NM_001012338.2	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene, fusion	Yes		1.0
PALB2	79728	ENST00000261584	NM_024675.3	ENST00000261584	NM_024675.3	6.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	TSG	Yes		1.0
PDCD1LG2	80380	ENST00000397747	NM_025239.3	ENST00000397747	NM_025239.3	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene, fusion	Yes		1.0
PDGFRB	5159	ENST00000261799	NM_002609.3	ENST00000261799	NM_002609.3	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene, fusion	Yes		1.0
PHF6	84295	ENST00000332070	NM_001015877.1	ENST00000332070	NM_001015877.1	6.0	Yes	No	Yes	Yes	Yes	No	Yes	Yes	Yes	1.0	Yes	TSG	No		1.0
PIM1	5292	ENST00000373509	NM_002648.3	ENST00000373509	NM_002648.3	6.0	Yes	No	No	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene, fusion	Yes		1.0
PRKAR1A	5573	ENST00000358598	NM_212471.2	ENST00000358598	NM_212471.2	6.0	Yes	No	No	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene, TSG, fusion	Yes		1.0
RAD21	5885	ENST00000297338	NM_006265.2	ENST00000297338	NM_006265.2	6.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene, TSG	No		1.0
RAF1	5894	ENST00000251849	NM_002880.3	ENST00000251849	NM_002880.3	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene, fusion	Yes		1.0
RARA	5914	ENST00000254066	NM_000964.3	ENST00000254066	NM_000964.3	6.0	Yes	No	No	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene, fusion	No		1.0
ROS1	6098	ENST00000368508	NM_002944.2	ENST00000368508	NM_002944.2	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene, fusion	Yes	ROS1 is a receptor tyrosine kinase that is frequently involved in genetic rearrangement in a variety of human cancers (e.g. NSCLC, gastric cancer, ovarian cancer, cholangiocarcinoma, colorectal cancer, angiosarcoma...). The resulting fusion protein harbors the constitutively active ROS1 kinase domain and drives cellular proliferation (Davies et. al.). In NSCLC about 1% harbor a ROS1 rearrangement. These patients are predominantely female and have a lower T-stage (Warth et. al.). Treatment with crizotinib leads to a reported objective response rate of appr. 70% and a median duration of response of 18 months (Shaw et. al.). Resistance mechanisms to crizotinib have been described and involve mutations in the kinase domain. More selective inhibitors of ROS1 might overcome this resistance (Davare et. al.).	1.0
RUNX1	861	ENST00000300305	NM_001754.4	ENST00000300305	NM_001754.4	6.0	Yes	No	Yes	Yes	Yes	No	Yes	Yes	Yes	1.0	Yes	oncogene, TSG, fusion	Yes	RUNX1 is a transcription factor that forms a complex with the cofactor CBFB. This complex provides stability to the RUNX1 protein which is involved in the generation of hematopoietic stem cells and for their differentiation into myeloid and lymphoid lines.  Loss of RUNX1 function has been shown to impair differentiation between myeloid and lymphoid lines often resulting in the development of leukemia.	1.0
SDHA	6389	ENST00000264932	NM_004168.2	ENST00000264932	NM_004168.2	6.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	TSG	Yes		1.0
SDHB	6390	ENST00000375499	NM_003000.2	ENST00000375499	NM_003000.2	6.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	TSG	Yes		1.0
SDHC	6391	ENST00000367975	NM_003001.3	ENST00000367975	NM_003001.3	6.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	TSG	No		1.0
SDHD	6392	ENST00000375549	NM_003002.3	ENST00000375549	NM_003002.3	6.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	TSG	No		1.0
SOX2	6657	ENST00000325404	NM_003106.3	ENST00000325404	NM_003106.3	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene	No		1.0
SPEN	23013	ENST00000375759	NM_015001.2	ENST00000375759	NM_015001.2	6.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	TSG	No		1.0
SRC	6714	ENST00000358208	NM_198291.2	ENST00000358208	NM_198291.2	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene	No		1.0
SRSF2	6427	ENST00000359995	NM_003016.4	ENST00000359995	NM_003016.4	6.0	Yes	No	No	Yes	Yes	No	Yes	Yes	Yes	1.0	Yes	oncogene	Yes		1.0
STAT3	6774	ENST00000264657	NM_139276.2	ENST00000264657	NM_139276.2	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene	Yes		1.0
SUFU	51684	ENST00000369902	NM_016169.3	ENST00000369902	NM_016169.3	6.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	TSG	Yes		1.0
SYK	6850	ENST00000375746	NM_003177.5	ENST00000375746	NM_003177.5	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene, fusion	Yes		1.0
TENT5C	54855	ENST00000369448	NM_017709.3	ENST00000369448	NM_017709.3	6.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	TSG	No		1.0
TGFBR2	7048	ENST00000295754	NM_003242.5	ENST00000295754	NM_003242.5	6.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	TSG	No		1.0
TMPRSS2	7113	ENST00000398585	NM_001135099.1	ENST00000398585	NM_001135099.1	6.0	Yes	No	No	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	fusion	Yes		1.0
TNFRSF14	8764	ENST00000355716	NM_003820.2	ENST00000355716	NM_003820.2	6.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	TSG	No		1.0
TSC2	7249	ENST00000219476	NM_000548.3	ENST00000219476	NM_000548.3	6.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	TSG	Yes		1.0
TSHR	7253	ENST00000298171	NM_000369.2	ENST00000541158	NM_000369.2	6.0	Yes	Yes	No	Yes	Yes	No	Yes	Yes	Yes	1.0	Yes	oncogene	No		1.0
XPO1	7514	ENST00000401558	NM_003400.3	ENST00000401558	NM_003400.3	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene	No		1.0
AKT3	10000	ENST00000263826	NM_005465.4	ENST00000263826	NM_005465.4	5.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No	2.0	Yes	oncogene	Yes		1.0
ARAF	369	ENST00000377045	NM_001654.4	ENST00000377045	NM_001654.4	5.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No	2.0	Yes	oncogene	Yes	ARAF has recently become increasingly considered for its oncogenic potential. Its potential as a target for informing clinical action was demonstrated by a single case of advanced lung adenocarcinoma harboring an S214C mutation that, when treated with sorafenib, acheived near-complete clinical remission. This finding has brought new focus on ARAF as a marker that should be assayed for in cancer treatment.	1.0
ARID1B	57492	ENST00000346085	NM_020732.3	ENST00000647938	NM_020732.3	5.0	Yes	No	Yes	Yes	Yes	No	No	Yes	Yes	1.0	Yes	TSG	No		1.0
AURKA	6790	ENST00000312783	NM_003600.2	ENST00000312783	NM_003600.2	5.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No		No		Yes		2.0
AURKB	9212	ENST00000585124	NM_004217.3	ENST00000585124	NM_004217.3	5.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No		No		No		2.0
AXL	558	ENST00000301178	NM_021913.4	ENST00000301178	NM_021913.4	5.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No		No		Yes		2.0
BCL10	8915	ENST00000370580	NM_003921.4	ENST00000648566	NM_003921.4	5.0	Yes	No	Yes	Yes	Yes	No	Yes	No	Yes	1.0	Yes	TSG, fusion	No		1.0
BCORL1	63035	ENST00000218147		ENST00000218147		5.0	Yes	No	Yes	No	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene, TSG	No		1.0
BCR	613	ENST00000305877	NM_004327.3	ENST00000305877	NM_004327.3	5.0	Yes	Yes	No	No	Yes	Yes	Yes	No	Yes	1.0	Yes	fusion	No		1.0
BIRC3	330	ENST00000263464	NM_182962.2	ENST00000263464	NM_182962.2	5.0	Yes	No	No	Yes	Yes	No	Yes	No	Yes	1.0	Yes	oncogene, TSG, fusion	Yes		1.0
BLM	641	ENST00000355112	NM_000057.2	ENST00000355112	NM_000057.2	5.0	Yes	No	Yes	Yes	Yes	No	Yes	No	Yes	1.0	Yes	TSG	No		1.0
BTG1	694	ENST00000256015	NM_001731.2	ENST00000256015	NM_001731.2	5.0	Yes	No	Yes	No	Yes	Yes	Yes	No	Yes	1.0	Yes	TSG, fusion	No		1.0
CDK8	1024	ENST00000381527	NM_001260.1	ENST00000381527	NM_001260.1	5.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No		No		No		2.0
CDKN2B	1030	ENST00000276925	NM_004936.3	ENST00000276925	NM_004936.3	5.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No		No		Yes		2.0
CHEK1	1111	ENST00000428830	NM_001274.5	ENST00000428830	NM_001274.5	5.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No		No		Yes		2.0
CRKL	1399	ENST00000354336	NM_005207.3	ENST00000354336	NM_005207.3	5.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No		No		Yes		2.0
CYLD	1540	ENST00000398568	NM_001042355.1	ENST00000398568	NM_001042355.1	5.0	Yes	No	Yes	Yes	Yes	No	No	Yes	Yes	1.0	Yes	TSG	No		1.0
DOT1L	84444	ENST00000398665	NM_032482.2	ENST00000398665	NM_032482.2	5.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No		No		No		2.0
EED	8726	ENST00000263360	NM_003797.3	ENST00000263360	NM_003797.3	5.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No	2.0	Yes	TSG	No		1.0
EIF4A2	1974	ENST00000323963	NM_001967.3	ENST00000323963	NM_001967.3	5.0	Yes	Yes	No	Yes	Yes	No	Yes	No	Yes	1.0	Yes	fusion	No		1.0
EPHA3	2042	ENST00000336596	NM_005233.5	ENST00000336596	NM_005233.5	5.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No	2.0	Yes		No		1.0
EPHB1	2047	ENST00000398015	NM_004441.4	ENST00000398015	NM_004441.4	5.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No		No		No		2.0
ERCC4	2072	ENST00000311895	NM_005236.2	ENST00000311895	NM_005236.2	5.0	Yes	No	Yes	Yes	Yes	Yes	No	No	Yes	1.0	Yes	TSG	No		1.0
ETV1	2115	ENST00000405192	NM_001163147.1	ENST00000405192	NM_001163147.1	5.0	Yes	Yes	No	Yes	Yes	No	Yes	No	Yes	1.0	Yes	oncogene, fusion	Yes		1.0
FAS	355	ENST00000355740	NM_000043.4	ENST00000652046	NM_000043.4	5.0	Yes	No	Yes	No	Yes	Yes	Yes	No	Yes	1.0	Yes	TSG	No		1.0
FGF19	9965	ENST00000294312	NM_005117.2	ENST00000294312	NM_005117.2	5.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No		No		Yes		2.0
FGF3	2248	ENST00000334134	NM_005247.2	ENST00000334134	NM_005247.2	5.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No		No		Yes	FGF3 is a member of the basic fibroblast growth factor (FGF) gene family and was first identified  based on it's similarity to the mouse proto-oncogene int-2. Amplifications of this gene and the surrounding region (11q13) have been observed in various cancers including breast cancer, esophogeal cancer, melanoma, bladder cancer and hepatocellular carcinoma (HCC). Lower tumor grade and stage have been associated with FGF3 amplifications in HCC; however, this event is fairly rare in this tumor type.	2.0
FGF4	2249	ENST00000168712	NM_002007.2	ENST00000168712	NM_002007.2	5.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No		No		No		2.0
FH	2271	ENST00000366560	NM_000143.3	ENST00000366560	NM_000143.3	5.0	Yes	No	Yes	Yes	Yes	Yes	No	No	Yes	1.0	Yes	TSG	No		1.0
FLT1	2321	ENST00000282397	NM_002019.4	ENST00000282397	NM_002019.4	5.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No		No		No		2.0
FLT4	2324	ENST00000261937	NM_182925.4	ENST00000261937	NM_182925.4	5.0	Yes	Yes	No	Yes	Yes	No	Yes	No	Yes	1.0	Yes	oncogene	Yes		1.0
FOXO1	2308	ENST00000379561	NM_002015.3	ENST00000379561	NM_002015.3	5.0	Yes	No	Yes	Yes	Yes	No	Yes	No	Yes	1.0	Yes	oncogene, TSG, fusion	Yes		1.0
FOXP1	27086	ENST00000318789	NM_001244814.1	ENST00000318789	NM_001244814.1	5.0	Yes	Yes	Yes	Yes	Yes	No	Yes	No	Yes	1.0	Yes	oncogene, fusion	Yes		1.0
GRIN2A	2903	ENST00000330684	NM_001134407.1	ENST00000330684	NM_001134407.1	5.0	Yes	No	Yes	Yes	Yes	No	Yes	No	Yes	1.0	Yes	TSG	No		1.0
GSK3B	2932	ENST00000316626	NM_002093.3	ENST00000316626	NM_002093.3	5.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No		No		No		2.0
HGF	3082	ENST00000222390	NM_000601.4	ENST00000222390	NM_000601.4	5.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No		No		Yes		2.0
ID3	3399	ENST00000374561	NM_002167.4	ENST00000374561	NM_002167.4	5.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No	2.0	Yes	TSG	No		1.0
IGF1R	3480	ENST00000268035	NM_000875.3	ENST00000650285	NM_000875.3	5.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No		No		Yes		2.0
IKBKE	9641	ENST00000367120	NM_014002.3	ENST00000581977	NM_014002.3	5.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No		No		No		2.0
IL7R	3575	ENST00000303115	NM_002185.3	ENST00000303115	NM_002185.3	5.0	Yes	Yes	No	Yes	Yes	No	Yes	No	Yes	1.0	Yes	oncogene	Yes		1.0
INPP4B	8821	ENST00000262992	NM_001101669.1	ENST00000262992	NM_001101669.1	5.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No		No		No		2.0
IRS2	8660	ENST00000375856	NM_003749.2	ENST00000375856	NM_003749.2	5.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No		No		Yes		2.0
KLF4	9314	ENST00000374672	NM_004235.4	ENST00000374672	NM_004235.4	5.0	Yes	Yes	Yes	Yes	Yes	No	No	Yes	Yes	1.0	Yes	oncogene, TSG	Yes		1.0
LMO1	4004	ENST00000335790	NM_002315.2	ENST00000335790	NM_002315.2	5.0	Yes	Yes	No	Yes	Yes	No	Yes	No	Yes	1.0	Yes	oncogene, fusion	No		1.0
MALT1	10892	ENST00000348428	NM_006785.3	ENST00000649217	NM_006785.3	5.0	Yes	No	No	Yes	Yes	No	Yes	No	Yes	1.0	Yes	oncogene, fusion	No		1.0
MAP3K13	9175	ENST00000265026	NM_004721.4	ENST00000265026	NM_004721.4	5.0	Yes	Yes	No	Yes	Yes	Yes	No	No	Yes	1.0	Yes	oncogene, TSG	No		1.0
MCL1	4170	ENST00000369026	NM_021960.4	ENST00000369026	NM_021960.4	5.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No		No		No		2.0
MEF2B	100271849	ENST00000162023	NM_001145785.1	ENST00000424583	NM_001145785.1	5.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No		No		No		2.0
MRE11	4361	ENST00000323929	NM_005591.3	ENST00000323929	NM_005591.3	5.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No		No		Yes		2.0
MSH3	4437	ENST00000265081	NM_002439.4	ENST00000265081	NM_002439.4	5.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No		No		Yes		2.0
MSI2	124540	ENST00000284073	NM_138962.2	ENST00000284073	NM_138962.2	5.0	Yes	Yes	No	Yes	Yes	No	Yes	No	Yes	1.0	Yes	oncogene, fusion	No		1.0
NBN	4683	ENST00000265433	NM_002485.4	ENST00000265433	NM_002485.4	5.0	Yes	No	Yes	Yes	Yes	Yes	No	No	Yes	1.0	Yes	TSG	Yes		1.0
NCOR1	9611	ENST00000268712	NM_006311.3	ENST00000268712	NM_006311.3	5.0	Yes	No	Yes	Yes	Yes	No	No	Yes	Yes	1.0	Yes	TSG	No		1.0
NFKBIA	4792	ENST00000216797	NM_020529.2	ENST00000216797	NM_020529.2	5.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No		No		No		2.0
NSD1	64324	ENST00000439151	NM_022455.4	ENST00000439151	NM_022455.4	5.0	Yes	Yes	Yes	Yes	Yes	No	Yes	No	Yes	1.0	Yes	fusion	No		1.0
NT5C2	22978	ENST00000343289	NM_001134373.2	ENST00000343289	NM_001134373.2	5.0	Yes	Yes	No	No	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene	Yes	This gene, when mutated to be over-active, has been linked to chemotherapy resistance in relapsed T-cell Acute Lymphoblastic Leukemia.	1.0
NTRK2	4915	ENST00000277120	NM_006180.3	ENST00000277120	NM_006180.3	5.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No		No		Yes		2.0
P2RY8	286530	ENST00000381297	NM_178129.4	ENST00000381297	NM_178129.4	5.0	Yes	No	Yes	No	Yes	Yes	Yes	No	Yes	1.0	Yes	oncogene, fusion	No		1.0
PDCD1	5133	ENST00000334409	NM_005018.2	ENST00000334409	NM_005018.2	5.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No		No		No		2.0
PIK3CB	5291	ENST00000289153	NM_006219.2	ENST00000289153	NM_006219.2	5.0	Yes	Yes	No	Yes	Yes	Yes	No	No	Yes	1.0	Yes	oncogene	Yes		1.0
PMS2	5395	ENST00000265849	NM_000535.5	ENST00000265849	NM_000535.5	5.0	Yes	No	Yes	Yes	Yes	Yes	No	No	Yes	1.0	Yes	TSG	Yes		1.0
POLD1	5424	ENST00000440232	NM_002691.3	ENST00000440232	NM_002691.3	5.0	Yes	No	Yes	Yes	Yes	Yes	No	No	Yes	1.0	Yes	TSG	Yes		1.0
POLE	5426	ENST00000320574	NM_006231.2	ENST00000320574	NM_006231.2	5.0	Yes	No	Yes	Yes	Yes	Yes	No	No	Yes	1.0	Yes	TSG	Yes		1.0
POT1	25913	ENST00000357628	NM_015450.2	ENST00000357628	NM_015450.2	5.0	Yes	No	Yes	Yes	Yes	No	Yes	No	Yes	1.0	Yes	TSG	Yes		1.0
PPARG	5468	ENST00000287820	NM_015869.4	ENST00000287820	NM_015869.4	5.0	Yes	Yes	No	Yes	Yes	Yes	No	No	Yes	1.0	Yes	TSG, fusion	No		1.0
RAC1	5879	ENST00000356142	NM_018890.3	ENST00000356142	NM_018890.3	5.0	Yes	Yes	No	Yes	Yes	Yes	No	No	Yes	1.0	Yes	oncogene	Yes	The RAC1 P29S mutation is the third most common protein-coding hotspot mutation in melanomas, ocurring in 4-9%. A preclinical study has shown that this mutation confers resistance to BRAF inhibition in-vitro.	1.0
RAD51	5888	ENST00000267868	NM_002875.4	ENST00000267868	NM_002875.4	5.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No		No		No		2.0
RAD51B	5890	ENST00000487270	NM_133509.3	ENST00000487270	NM_133509.3	5.0	Yes	No	Yes	Yes	Yes	Yes	No	No	Yes	1.0	Yes	TSG, fusion	No		1.0
RBM10	8241	ENST00000329236	NM_001204468.1	ENST00000628161	NM_001204468.1	5.0	Yes	No	Yes	Yes	Yes	Yes	No	No	Yes	1.0	Yes	TSG	No		1.0
REL	5966	ENST00000295025	NM_002908.2	ENST00000295025	NM_002908.2	5.0	Yes	Yes	No	Yes	Yes	Yes	No	No	Yes	1.0	Yes	oncogene	Yes		1.0
RHOA	387	ENST00000418115	NM_001664.2	ENST00000418115	NM_001664.2	5.0	Yes	Yes	No	Yes	Yes	No	Yes	No	Yes	1.0	Yes	oncogene, TSG	Yes		1.0
RICTOR	253260	ENST00000357387	NM_152756.3	ENST00000357387	NM_152756.3	5.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No		No		Yes		2.0
RPTOR	57521	ENST00000306801	NM_020761.2	ENST00000306801	NM_020761.2	5.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No		No		No		2.0
SETBP1	26040	ENST00000282030	NM_015559.2	ENST00000649279	NM_015559.2	5.0	Yes	Yes	No	No	Yes	No	Yes	Yes	Yes	1.0	Yes	oncogene, fusion	Yes		1.0
SOX9	6662	ENST00000245479	NM_000346.3	ENST00000245479	NM_000346.3	5.0	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No		No		No		2.0
STAT5B	6777	ENST00000293328	NM_012448.3	ENST00000293328	NM_012448.3	5.0	Yes	Yes	No	Yes	Yes	No	Yes	No	Yes	1.0	Yes	oncogene, TSG, fusion	Yes		1.0
SUZ12	23512	ENST00000322652	NM_015355.2	ENST00000322652	NM_015355.2	5.0	Yes	No	Yes	Yes	Yes	No	Yes	No	Yes	1.0	Yes	oncogene, TSG, fusion	No		1.0
TBX3	6926	ENST00000257566	NM_016569.3	ENST00000257566	NM_016569.3	5.0	Yes	No	Yes	Yes	Yes	Yes	No	No	Yes	1.0	Yes	oncogene, TSG	No		1.0
TCF3	6929	ENST00000344749	NM_001136139.2	ENST00000588136	NM_001136139.2	5.0	Yes	No	Yes	Yes	Yes	No	Yes	No	Yes	1.0	Yes	oncogene, TSG, fusion	No		1.0
TERT	7015	ENST00000310581	NM_198253.2	ENST00000310581	NM_198253.2	5.0	Yes	Yes	No	Yes	Yes	Yes	No	No	Yes	1.0	Yes	oncogene, TSG	Yes		1.0
